gemeente|data|titel|klasse
gemeente-teylingen-teylingen|Tijdens het laatste seniorenconvent is geconstateerd dat de opzet van de vroegere werkgroep bestuurlijke vernieuwing  succesvol was. Enerzijds vanwege de brede bemensing van de werkgroep door zowel raadsleden, collegeleden als mt-leden maar vooral omdat het als gezamenlijk belang werd gezien van raad, college en ambtelijke organisatie om de inwoners op een bestuurlijk vernieuwende manier bij de lokale overheid te betrekken en de kloof tussen overheid en inwoners te verkleinen. Dit door te kijken naar interne structuren en systemen maar ook door te kijken naar hoe het contact met de inwoners vernieuwd kon worden en hoe inwoners konden participeren.     Op de actielijst van het presidium is het punt Code Oranje en Democratic Challenge opgenomen. Beide punten zijn eigenlijk terug te vinden in het idee van een Open Overheid en de vier structuren die daarin te onderkennen zijn.    - Open contact (nabij, laagdrempelig, bereikbaar en betrouwbaar, nieuwsgierig zijn, menselijk gezicht tonen door te delen en te vragen)   - Open aanpak (open staan voor nieuwe en onverwachte invalshoeken, manier waarop beleid tot stand komt, minder bepalen meer deelnemen, samen werken, )   - Open verantwoording (geef openheid van zaken)   - Open data (herbruikbaar, data delen, betere digitale diensten, kosteloos,  standaardisatie)     De vraag die nu voorligt is of het systeem van een werkgroep Bestuurlijke Vernieuwing, waar positieve ervaringen mee zijn opgedaan,  gebruikt kan worden voor het starten van een werkgroep Open Overheid? Hoe zien jullie dit?        |6 : Verkenning omzetting Actiepunt Code Oranje, democratic Challenge naar  Open Overheid (Open Contact, Open Aanpak, Open Verantwoording, OPen Data |Agendapunt
gemeente-teylingen-teylingen|Bij dit punt is vanuit de afdeling S&P Daniëlle Otsen aanwezig |5: Voorbereiding werkbezoek CdK|Agendapunt
gemeente-teylingen-teylingen|Is er behoefte om de verschillende mogelijkheden en onmogelijkheden rondom de (in)formatie naar een coalitie en een  raadsakkoord te verkennen?     Bijvoorbeeld door de griffie de opdracht te geven de best-practices te inventariseren. Maar ook om met de lijsttrekkers/onderhandelaars (de nummers 1 en 2 op de lijst?), nog voordat de verkiezingskoorts echt uitbreekt,  in januari/begin februari het gesprek aan te gaan en te verkennen hoe hier in vulling aan te geven en welke ideeën er leven?     Het is niet de bedoeling om tot (bindende) afspraken te komen maar dit moet gezien worden als een verkenning zodat de deelnemers aan de onderhandelingen kennis hebben van het proces, weten welke ideeen er leven bij de eigen andere fracties en kennis hebben van de mogelijkheden die er bestaan. Maar ook om de ambtelijke ondersteuning en wensen qua overdrachtsdocumenten etc te inventariseren.     Voorstel is om een dergelijke verkenning half/eind januari 2018 te organiseren.       |7: Gemeenteraadsverkiezing 2018. Behoefte aan verkenning best practices en (on)mogelijkheden (in)formatie naar een coalitie en een coalitie- en raadsakkoord?|Agendapunt
gemeente-teylingen-teylingen|Tijdens het laatste seniorenconvent is geconstateerd dat de opzet van de vroegere werkgroep bestuurlijke vernieuwing  succesvol was. Enerzijds vanwege de brede bemensing van de werkgroep door zowel raadsleden, collegeleden als mt-leden maar vooral omdat het als gezamenlijk belang werd gezien van raad, college en ambtelijke organisatie om de inwoners op een bestuurlijk vernieuwende manier bij de lokale overheid te betrekken en de kloof tussen overheid en inwoners te verkleinen. Dit door te kijken naar interne structuren en systemen maar ook door te kijken naar hoe het contact met de inwoners vernieuwd kon worden en hoe inwoners konden participeren.     Op de actielijst van het presidium is het punt Code Oranje en Democratic Challenge opgenomen. Beide punten zijn eigenlijk terug te vinden in het idee van een Open Overheid en de vier structuren die daarin te onderkennen zijn.    - Open contact (nabij, laagdrempelig, bereikbaar en betrouwbaar, nieuwsgierig zijn, menselijk gezicht tonen door te delen en te vragen)   - Open aanpak (open staan voor nieuwe en onverwachte invalshoeken, manier waarop beleid tot stand komt, minder bepalen meer deelnemen, samen werken, )   - Open verantwoording (geef openheid van zaken)   - Open data (herbruikbaar, data delen, betere digitale diensten, kosteloos,  standaardisatie)     De vraag die nu voorligt is of het systeem van een werkgroep Bestuurlijke Vernieuwing, waar positieve ervaringen mee zijn opgedaan,  gebruikt kan worden voor het starten van een werkgroep Open Overheid? Hoe zien jullie dit?        |6 : Verkenning omzetting Actiepunt Code Oranje, democratic Challenge naar  Open Overheid (Open Contact, Open Aanpak, Open Verantwoording, OPen Data |Agendapunt
commissie-welzijn|[Doel: besluitvormend]  De afgelopen jaren zijn er diverse trends en ontwikkelingen geweest en op relevante beleidsterreinen hebben veranderingen plaatsgevonden. Er heeft een verschuiving plaatsgevonden van het faciliteren van de accommodaties naar sport en bewegen in een breder perspectief. De belangrijkste veranderingen en aanpassingen die hebben plaatsgevonden zijn op het gebied van; gezondheid, duurzaamheid, maatschappelijke betrokkenheid. |7: Nota Sport & bewegen 2018-2021|Agendapunt
commissie-bft|Deze vergadering bekijkt u live of achteraf op de website: www.teylingen.tv|None: Teylingen.tv|Agendapunt
commissie-bft|Deze vergadering bekijkt u live of achteraf op de website: www.teylingen.tv|None: Teylingen.tv|Agendapunt
commissie-ruimte|[doel: informerend]    Het college wil de schetsontwerpen presenteren aan de commissie, alvorens besluitvorming hierover plaatsvindt in januari. Vooraf aan de commissie is er een inloopmogelijkheid hiervoor voor de commissieleden en andere geinteresseerden. Men is welkom in zaal V-018 in het Bestuurscentrum te Voorhout. |0: Inloop Herenweg|Agendapunt
commissie-bft|Op de actielijst staan de lopende actiepunten weergegeven met de stand van zaken vanuit het college.    Op de langetermijnagenda (LTA) is de planning van de raadsstukken te zien. De onderwerpen met 1 of 2 sterren worden in de commissie geagendeerd als hamerstuk, tenzij een fractie na afloop van de voorafgaande fractievergadering aangeeft dit als bespreekstuk te willen agenderen (graag met motivering en aanduiding van de bespreekpunten).  |10: Actielijst en langetermijnagenda|Agendapunt
gemeente-teylingen-teylingen|De conceptagenda wordt vastgesteld onder voorbehoud van de uitkomsten uit de commissie BF&T van hedenavond en de commissie Ruimte van 11 december a.s.  De mogelijkheid bestaat dat er veel bespreekpunten zijn; de voorzitter en griffier bekijken in dat geval welke agendapunten kunnen worden doorgeschoven naar de raadsvergadering van 1 februari 2018.|4: Concept raadsagenda|Agendapunt
commissie-ruimte|[doel: informerend]    Het college wil de schetsontwerpen presenteren aan de commissie, alvorens besluitvorming hierover plaatsvindt in januari. Vooraf aan de commissie is er een inloopmogelijkheid hiervoor voor de commissieleden en andere geinteresseerden. Men is welkom in zaal V-018 in het Bestuurscentrum te Voorhout. |0: Inloop Herenweg|Agendapunt
commissie-bft|Op de actielijst staan de lopende actiepunten weergegeven met de stand van zaken vanuit het college.    Op de langetermijnagenda (LTA) is de planning van de raadsstukken te zien. De onderwerpen met 1 of 2 sterren worden in de commissie geagendeerd als hamerstuk, tenzij een fractie na afloop van de voorafgaande fractievergadering aangeeft dit als bespreekstuk te willen agenderen (graag met motivering en aanduiding van de bespreekpunten).  |10: Actielijst en langetermijnagenda|Agendapunt
gemeente-teylingen-teylingen|De conceptagenda wordt vastgesteld onder voorbehoud van de uitkomsten uit de commissie BF&T van hedenavond en de commissie Ruimte van 11 december a.s.  De mogelijkheid bestaat dat er veel bespreekpunten zijn; de voorzitter en griffier bekijken in dat geval welke agendapunten kunnen worden doorgeschoven naar de raadsvergadering van 1 februari 2018.|4: Concept raadsagenda|Agendapunt
gemeente-teylingen-teylingen|Op deze avond vergaderen de verschillende raadsfracties: VVD, CDA, D66, Trilokaal, PvdA en ChristenUnie.  Bij de fracties bent u welkom om zaken kenbaar te maken aan de raadsleden. Graag vooraf aanmelden bij de fractievoorzitter. De contactgegevens vindt u op www.raadteylingen.nl.|None: Fractievergadering raadsfracties|Agendapunt
gemeente-teylingen-teylingen|Culturele estafette  In de Culturele estafette geeft Yvonne Heemskerk het stokje over aan Lynn van Werkhoven.  Lynn is een geboren en getogen Voorhouter en studeert momenteel aan de universiteit van Wageningen. Alle tijd naast het studeren steekt zij  in muziek maken.   Muziek maken (en dan vooral zingen en piano spelen, gitaar is zij nog aan het leren) is echt haar passie geworden over de jaren. Het is een uitlaatklep voor haarzelf, maar zij vindt  het ook superleuk om andere mensen ermee te entertainen. Haar liedjes (zowel covers als eigen nummers) kun je omschrijven als ballads met een invloed van jazz of folk.   |1: Opening|Agendapunt
gemeente-teylingen-teylingen|De conceptagenda wordt vastgesteld onder voorbehoud van de uitkomsten uit de commissie BF&T van hedenavond en de commissie Ruimte van 11 december a.s.  De mogelijkheid bestaat dat er veel bespreekpunten zijn; de voorzitter en griffier bekijken in dat geval welke agendapunten kunnen worden doorgeschoven naar de raadsvergadering van 1 februari 2018.|4: Concept raadsagenda|Agendapunt
gemeente-teylingen-teylingen|Op deze avond vergaderen de verschillende raadsfracties: VVD, CDA, D66, Trilokaal, PvdA en ChristenUnie.  Bij de fracties bent u welkom om zaken kenbaar te maken aan de raadsleden. Graag vooraf aanmelden bij de fractievoorzitter. De contactgegevens vindt u op www.raadteylingen.nl.|None: Fractievergadering raadsfracties|Agendapunt
gemeente-teylingen-teylingen|Culturele estafette  In de Culturele estafette geeft Yvonne Heemskerk het stokje over aan Lynn van Werkhoven.  Lynn is een geboren en getogen Voorhouter en studeert momenteel aan de universiteit van Wageningen. Alle tijd naast het studeren steekt zij  in muziek maken.   Muziek maken (en dan vooral zingen en piano spelen, gitaar is zij nog aan het leren) is echt haar passie geworden over de jaren. Het is een uitlaatklep voor haarzelf, maar zij vindt  het ook superleuk om andere mensen ermee te entertainen. Haar liedjes (zowel covers als eigen nummers) kun je omschrijven als ballads met een invloed van jazz of folk.   |1: Opening|Agendapunt
commissie-ruimte|[doel: besluitvormend]    De raad wordt gevraagd het uitvoeringskrediet van € 597.000,- voor het HOV maatregelpakket Voorhout vrij te geven en de daarmee samenhangende begrotingswijziging vast te stellen. Het maatregelpakket is vorig jaar al vastgesteld door de raad. De raad wordt dus niet gevraagd om over het maatregelpakket te beslissen, er wordt slechts over het krediet om het reeds vastgestelde maatregelpakket te kunnen realiseren besloten.   |14: Uitvoeringskrediet HOV maatregelpakket, deel Voorhout|Agendapunt
gemeente-teylingen-teylingen| |7: Actielijst, lijst van toezeggingen en langetermijnagenda|Agendapunt
gemeente-teylingen-teylingen|Op deze avond vergaderen de verschillende raadsfracties: VVD, CDA, D66, Trilokaal, PvdA en ChristenUnie.  Bij de fracties bent u welkom om zaken kenbaar te maken aan de raadsleden. Graag vooraf aanmelden bij de fractievoorzitter. De contactgegevens vindt u op www.raadteylingen.nl.|None: Fractievergadering raadsfracties|Agendapunt
gemeente-teylingen-teylingen|Culturele estafette  In de Culturele estafette geeft Yvonne Heemskerk het stokje over aan Lynn van Werkhoven.  Lynn is een geboren en getogen Voorhouter en studeert momenteel aan de universiteit van Wageningen. Alle tijd naast het studeren steekt zij  in muziek maken.   Muziek maken (en dan vooral zingen en piano spelen, gitaar is zij nog aan het leren) is echt haar passie geworden over de jaren. Het is een uitlaatklep voor haarzelf, maar zij vindt  het ook superleuk om andere mensen ermee te entertainen. Haar liedjes (zowel covers als eigen nummers) kun je omschrijven als ballads met een invloed van jazz of folk.   |1: Opening|Agendapunt
commissie-ruimte|[doel: besluitvormend]    De raad wordt gevraagd het uitvoeringskrediet van € 597.000,- voor het HOV maatregelpakket Voorhout vrij te geven en de daarmee samenhangende begrotingswijziging vast te stellen. Het maatregelpakket is vorig jaar al vastgesteld door de raad. De raad wordt dus niet gevraagd om over het maatregelpakket te beslissen, er wordt slechts over het krediet om het reeds vastgestelde maatregelpakket te kunnen realiseren besloten.   |14: Uitvoeringskrediet HOV maatregelpakket, deel Voorhout|Agendapunt
gemeente-teylingen-teylingen| |7: Actielijst, lijst van toezeggingen en langetermijnagenda|Agendapunt
gemeente-teylingen-teylingen|De advisering over redelijke eisen van welstand is opgedragen aan de Stichting Dorp Stad & Land. De stichting draagt uit haar midden personen voor als lid van de gemeentelijke commissie ruimtelijke kwaliteit (welstandscommissie). Deze vertegenwoordigers worden door de gemeenteraad benoemd. Eén van de huidige commissieleden, de heer T. Jütte, bereikt binnenkort zijn maximale benoemingstermijn (3+3 jaar). Voorgesteld wordt mw. ir. K. van de Vrande per 1 januari 2018 te benoemen als deskundig en onafhankelijk lid van de commissie ruimtelijke kwaliteit (welstandscommissie). De  stukken (o.a. c.v.) zijn via SharePoint in te zien. |12: Benoeming lid welstandscommissie|Agendapunt
commissie-ruimte|Op de actielijst staan de lopende actiepunten weergegeven met de stand van zaken vanuit het college.    Op de langetermijnagenda (LTA) is de planning van de raadsstukken te zien. De onderwerpen met 1 of 2 sterren worden in de commissie geagendeerd als hamerstuk, tenzij een fractie na afloop van de voorafgaande fractievergadering aangeeft dit als bespreekstuk te willen agenderen (graag met motivering en aanduiding van de bespreekpunten).    Vanwege het grote aantal onderwerpen op de agenda van de commissie Ruimte van 11 december wordt de raadsleden gevraagd om schriftelijk vragen te stellen over de actielijst en langetermijnagenda. |6: Actielijst en Langetermijnagenda|Agendapunt
commissie-ruimte|[doel: besluitvormend]  De raad wordt gevraagd om de grondexploitatie voor het project Bloementuin in Sassenheim vast te stellen. Worden er tijdens de commissievergadering vragen gesteld over de exploitatie zelf? Dan worden de antwoorden in beslotenheid gegeven.   De raadsleden vinden de geheime stukken op Sharepoint, het interne systeem voor de raadsleden. |16: Grondexploitatie Bloementuin|Agendapunt
commissie-ruimte|[doel: besluitvormend]    De aanleiding voor het actualiseren van de erfgoedverordening is de nieuwe erfgoedwet. Tussendoor speelde in Teylingen het slopen van historische panden, zonder status van gemeentelijk monument. Dit slopen gaf aanleiding in de gemeenteraad tot het indienen van een motie en een initiatiefvoorstel om het erfgoedbeleid van Teylingen aan te passen. Het afgelopen half jaar is gewerkt aan het maken van een visie en een verordening (op basis van de erfgoedwet) met de aanpassingen uit het initiatiefvoorstel en de motie. Met dit voorstel stellen we voor om nu de erfgoedverordening en -visie vast te stellen. Daarmee willen we bereiken dat het cultureel erfgoed van Teylingen wordt beschermd, behouden en ontwikkeld. De gemeenteraad is bevoegd om de erfgoedverordening en de visie vast te stellen.    |12: Vaststellen erfgoedverordening|Agendapunt
commissie-ruimte|[doel: besluitvormend]    Op 27 september 2016 heeft het college positief besloten op een principeverzoek van de heer Krijt voor het perceel Hyacintenlaan 2 in Warmond. Het verzoek gaat uit van de splitsing van het bestaande bouwperceel naar vier bouwpercelen om de bouw van vier nieuwe woningen mogelijk te maken in plaats van één bestaande woning. Het verzoek is in strijd met het geldende bestemmingsplan Kom Warmond (2009), omdat op het perceel één woning is toegestaan. Het verzoek sluit evenwel aan bij de verdichtingsvisie Warmond-West, vastgesteld door de gemeenteraad op 4 februari 2016. Van 1 juni tot en met 12 juli 2017 heeft het voorontwerpbestemmingsplan voor bovengenoemd initiatief ter inzage gelegen voor inspraak en is dit plan voorgelegd aan de vooroverleginstanties. Er zijn drie inspraakreacties ingediend en uit het vooroverleg kwamen geen bijzonderheden. Het college heeft hierna op 29 augustus jl. de inspraakreacties beantwoord en besloten om de procedure voor het ontwerpbestemmingsplan Hyacintenlaan 2, Warmond te starten door dit bestemmingsplan ter visie te leggen voor zienswijzen. De inzagetermijn voor het ontwerpbestemmingsplan is geëindigd op 18 oktober jl. Er zijn geen zienswijzen ingebracht. Wel zijn er naar aanleiding van enkele gesprekken met omwonenden enkele aanpassingen gedaan aan de bouwregels. Voorgesteld wordt daarom om het bestemmingsplan Hyacintenlaan 2, Warmond gewijzigd vast te stellen.     Vanwege het feit dat er geen zienswijzen zijn ingediend op het ontwerpbestemmingsplan is het agendapunt als hamerstuk geagendeerd. |9: Vaststellen Bestemmingsplan Hyacinthenlaan 2, Warmond|Agendapunt
