gemeente|data|titel|klasse
58c16d1dbb59056809b91917|19:00-19.50: Hoorzitting Vaststelling bestemmingsplan Stadscentrum-Oost/Cadenza VERVALLEN    20:00-20:30: Raadsvergadering    RAADZAAL:  20:40-21:30: Vervoersknoop Bleizo (2014-000772) (oordeelsvormend)   21:30-21:40: Pauze  21:40-22:30: Concept Woonvisie Zoetermeer en Notitie Samenspraak (2014-0008767 (vervolg beeldvorming)  22:30: Standpuntenlijst    BEDRIJFSRESTAURANT:  20:40-21:30:  Algemene aanpassing APV 2015 (2013-000832) (beeld- en oordeelsvormend) VERVALLEN   21:30-21:40: Pauze  21:40-22:30: Vervolg Algemene aanpassing APV 2015 (2013-000832) (beeld- en oordeelsvormend) VERVALLEN |zoetermeer|Agenda
gemeente-den-helder-den-helder-nh|1.  Opening en mededelingen.   2.  Spreekrecht burgers.   3.  Vaststelling agenda.   4.  Voorstel over het rapport ‘De Verplaatsing van Theater de Kampanje’ van de Rekenkamercommissie Den Helder.  De Rekenkamercommissie Den Helder heeft de afgelopen maanden onderzoek uitgevoerd naar de verplaatsing van Theater De Kampanje naar Willemsoord. De Rekenkamercommissie Den Helder doet in haar rapport een aantal aanbevelingen aan de gemeenteraad met het voorstel deze over te nemen. De commissie dient de raad over het voorstel te adviseren. 5.  Voorstel met betrekking tot de exploitatie van Theater De Kampanje.  Met de jaarstukken van 2016 werd duidelijk dat de bedrijfsvoering van Theater De Kampanje moet worden aangepast. Er is meer personele inzet nodig en de exploitatie kost meer dan van tevoren was ingeschat. Ook moeten de aanloopkosten volgend uit de verhuizing worden gedekt. Het college van burgemeester en wethouders wil een bijdrage aan De Kampanje doen van € 300.000,- voor compensatie van het verwachte tekort over 2017 en de subsidiebijdrage voor 2018 en 2019 verhogen met een bedrag van € 300.000,-. De commissie dient de raad te adviseren over het voorstel. 6.  Voorstel met betrekking tot de tweede tussenrapportage 2017 (behandeling is doorgeschoven naar 4 december 2017).  In de loop van het jaar ontstaan afwijkingen ten opzichte van de vastgestelde begroting. Met de tussenrapportage 2017 wordt hierin inzicht gegeven. De rapportage heeft een nadelig effect van € 240.000,-. Samen met het negatieve resultaat vanuit de eerste tussenrapportage is het verwachte tekort € 4.856.000,-. Bij de jaarrekening wordt het uiteindelijke resultaat bepaald. De raad wordt voorgesteld kennis te nemen van de tussenrapportage en de hieruit voortvloeiende begrotingswijziging vast te stellen. De commissie dient de raad hierover te adviseren. 7.  Schorsing.  De vergadering is geschorst en wordt voortgezet op maandag 4 december 2017.|Verslag Raadscommissie Bestuur en Middelen 29 november 2017 19:30:00|Verslag
cluster-sociaal|Griffie: Gijs Corten  College: wethouder Rogier Tetteroo|gouda|Agenda
gemeente-den-helder-den-helder-nh|1.  Opening en mededelingen.   2.  Spreekrecht burgers.   3.  Vaststelling agenda.   4.  Voorstel over het rapport ‘De Verplaatsing van Theater de Kampanje’ van de Rekenkamercommissie Den Helder.  De Rekenkamercommissie Den Helder heeft de afgelopen maanden onderzoek uitgevoerd naar de verplaatsing van Theater De Kampanje naar Willemsoord. De Rekenkamercommissie Den Helder doet in haar rapport een aantal aanbevelingen aan de gemeenteraad met het voorstel deze over te nemen. De commissie dient de raad over het voorstel te adviseren. 5.  Voorstel met betrekking tot de exploitatie van Theater De Kampanje.  Met de jaarstukken van 2016 werd duidelijk dat de bedrijfsvoering van Theater De Kampanje moet worden aangepast. Er is meer personele inzet nodig en de exploitatie kost meer dan van tevoren was ingeschat. Ook moeten de aanloopkosten volgend uit de verhuizing worden gedekt. Het college van burgemeester en wethouders wil een bijdrage aan De Kampanje doen van € 300.000,- voor compensatie van het verwachte tekort over 2017 en de subsidiebijdrage voor 2018 en 2019 verhogen met een bedrag van € 300.000,-. De commissie dient de raad te adviseren over het voorstel. 6.  Voorstel met betrekking tot de tweede tussenrapportage 2017 (behandeling is doorgeschoven naar 4 december 2017).  In de loop van het jaar ontstaan afwijkingen ten opzichte van de vastgestelde begroting. Met de tussenrapportage 2017 wordt hierin inzicht gegeven. De rapportage heeft een nadelig effect van € 240.000,-. Samen met het negatieve resultaat vanuit de eerste tussenrapportage is het verwachte tekort € 4.856.000,-. Bij de jaarrekening wordt het uiteindelijke resultaat bepaald. De raad wordt voorgesteld kennis te nemen van de tussenrapportage en de hieruit voortvloeiende begrotingswijziging vast te stellen. De commissie dient de raad hierover te adviseren. 7.  Schorsing.  De vergadering is geschorst en wordt voortgezet op maandag 4 december 2017.|Verslag 2. Spreekrecht burgers.|Verslag
gemeente-den-helder-den-helder-nh|1.  De vergadering is geannuleerd wegens een gebrek aan voldoende agendapunten.  |Verslag 1. De vergadering is geannuleerd wegens een gebrek aan voldoende agendapunten.|Verslag
cluster-bestuur|Fase  □□○    Twee lokale radiostations hebben zich gemeld om de licentie voor de lokale omroep te verkrijgen. Op 5 juli heeft de gemeenteraad aanvullende criteria voor de verstrekking van de zendmachtiging vastgesteld om het commissariaat voor de media te kunnen adviseren. Bij deze bijeenkomst zullen de twee omroepen zich aan de raad presenteren.     Belangstellenden worden van harte uitgenodigd om bij deze bijeenkomst op de publieke tribune aanwezig te zijn  |4: Presentatie lokale omroep|Agendapunt
gemeente-den-helder-den-helder-nh|1.  Opening en mededelingen.   2.  Spreekrecht burgers.   3.  Vaststelling agenda.   4.  Voorstel tot het vaststellen van de Programmabegroting 2018.  Het college van burgemeester en wethouders stelt de raad voor de programmabegroting 2018 vast te stellen en kennis te nemen van de meerjarenraming 2019-2021. Tevens wordt voorgesteld om in aansluiting op de programmabegroting 2018-2021, de bijlage ‘Nieuw beleid en meerjarig sluitende begroting 2018-2021’ vast te stellen, het programma ‘Gebiedsgerichte aanpak’ in te stellen en een krediet van € 6.402.000 beschikbaar te stellen voor de noodzakelijke (vervangings-)investeringen in 2018. De commissie dient de raad over het voorstel te adviseren. 5.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van leges 2018.  Voorgesteld wordt de leges te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. Met de aanpassing van een aantal tarieven dient nog te worden gewacht op vaststelling en publicatie hiervan door het Rijk. 6.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van afvalstoffenheffing 2018.  Voorgesteld wordt de afvalstoffenheffing te verhogen met € 20,04 voor éénpersoonshuishoudens en € 29,04 voor meerpersoonshuishoudens om de heffing kostendekkend te maken. 7.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van lijkbezorgingsrechten 2018.  Voorgesteld wordt de lijkbezorgingsrechten te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 8.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van rioolheffing 2018.  Voorgesteld wordt de rioolheffing met € 27,00 te verlagen tot € 130,00. 9.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van toeristenbelasting 2018.  Voorgesteld wordt de toeristenbelasting te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 10.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van precariobelasting 2018.  Voorgesteld wordt de precariorechten te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 11.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van forensenbelasting 2018.  Voorgesteld wordt de forensenbelasting te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 12.  Sluiting.  |Verslag 6. Voorstel tot het vaststellen van de Verordening op de heffing en invordering van afvalstoffenheffing 2018.|Verslag
commissie-samenleving-en-commissie-stad-plenair|Algemeen deel commissie Samenleving en commissie Stad plenair|zoetermeer|Agenda
gemeente-den-helder-den-helder-nh|1.  Opening en mededelingen.   2.  Spreekrecht burgers.   3.  Vaststelling agenda.   4.  Voorstel tot het vaststellen van de Programmabegroting 2018.  Het college van burgemeester en wethouders stelt de raad voor de programmabegroting 2018 vast te stellen en kennis te nemen van de meerjarenraming 2019-2021. Tevens wordt voorgesteld om in aansluiting op de programmabegroting 2018-2021, de bijlage ‘Nieuw beleid en meerjarig sluitende begroting 2018-2021’ vast te stellen, het programma ‘Gebiedsgerichte aanpak’ in te stellen en een krediet van € 6.402.000 beschikbaar te stellen voor de noodzakelijke (vervangings-)investeringen in 2018. De commissie dient de raad over het voorstel te adviseren. 5.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van leges 2018.  Voorgesteld wordt de leges te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. Met de aanpassing van een aantal tarieven dient nog te worden gewacht op vaststelling en publicatie hiervan door het Rijk. 6.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van afvalstoffenheffing 2018.  Voorgesteld wordt de afvalstoffenheffing te verhogen met € 20,04 voor éénpersoonshuishoudens en € 29,04 voor meerpersoonshuishoudens om de heffing kostendekkend te maken. 7.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van lijkbezorgingsrechten 2018.  Voorgesteld wordt de lijkbezorgingsrechten te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 8.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van rioolheffing 2018.  Voorgesteld wordt de rioolheffing met € 27,00 te verlagen tot € 130,00. 9.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van toeristenbelasting 2018.  Voorgesteld wordt de toeristenbelasting te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 10.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van precariobelasting 2018.  Voorgesteld wordt de precariorechten te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 11.  Voorstel tot het vaststellen van de Verordening op de heffing en invordering van forensenbelasting 2018.  Voorgesteld wordt de forensenbelasting te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen. 12.  Sluiting.  |Verslag 7. Voorstel tot het vaststellen van de Verordening op de heffing en invordering van lijkbezorgingsrechten 2018.|Verslag
commissie-stad|Ontslakken + Jongerenhuisvesting (beeldvormend – presentatie dhr. De Zeeuw)  Het toevoegen van extra jongerenwoningen aan de woningvoorraad in de stad is een belangrijk speerpunt voor Zoetermeer. Hiertoe wordt voor een viertal locaties een haalbaarheidsonderzoek gestart om op deze vier locaties door De Goede Woning Jongerenwoningen te laten ontwikkelen en te laten realiseren. De kaders en uitgangspunten worden middels samenspraak met de omgeving per locatie vastgesteld.   Om uitvoering te geven aan de raadsmotie van 1 juli 2013 ‘Investeringen op gang houden’ wordt voorgesteld de realisatie van circa 200 jongerenwoningen als pilotproject aan te wijzen voor het ontslakken. Zie ook het memo “Ontslakken door middel van pilotproject realisatie Jongerenwoningen” van 14 oktober 2014.  Prof.mr. Friso de Zeeuw zal tijdens de beeldvormende commissievergadering voorlichting geven over de landelijke pilot ontslakken en de voordelen en consequenties hiervan. Daarnaast wordt bij de uitvoering van het project gebruik gemaakt van de expertise van het landelijk actieteam ontslakken.  Aard van deze bespreking is beeldvormend: verkennen en afbakenen van het vraagstuk, inventariseren van knelpunten en keuzes, verduidelijken eventuele technische onduidelijkheden.  De oordeelsvormende bespreking is vooralsnog gepland op 1 juni a.s.|I: Jongerenwoningen (beeldvormend) |Agendapunt
commissie-samenleving|Spreektijd per fractie voor beeldvorming: 2 minuten     Tijdens de behandeling van de kadernota armoede is de motie ‘leren van ervaringen’ (1412-09, 15 december 2014) aangenomen. Deze motie vroeg om de instrumenten en doelstellingen van het armoedebeleid te evalueren en eventueel bijstellingen te doen. Daarnaast werd de motie ‘Top 3 gemeenten’ (1412-24) aangenomen, waarmee het college wordt opgedragen een voorstel te doen ten aanzien van de doelstellingen van het armoedebeleid waarop het college wil worden afgerekend.     Ter uitvoering hiervan is door een extern bureau een evaluatie opgesteld met een terugblik op eerdere beleidskeuzes alsmede een vooruitblik op het huidige armoedebeleid en zijn indicatoren uitgewerkt vanuit een raadsbrede ambitie om tot de top-3 te behoren. Het rapport schetst tevens ontwikkelrichtingen om het armoedebeleid toekomstbestendig maken.     De raad wordt gevraagd om het college de opdracht te geven om concreet invulling te geven aan de aanbevelingen uit het rapport en om de aanbevelingen en doelstellingen vast te stellen.     Aard van deze bespreking is oordeelsvormend; uitwisseling van inhoudelijke argumenten en daarop doorvragen om tot een goede weging te kunnen komen van de voorstellen. Besluitvorming is voorzien op 30 november.     Naar aanleiding van de commissiebehandeling op 16 november 2015 is een aangepast raadsvoorstel bij de stukken geplaatst.|2: 21:10 - 22:00 Goed op weg?! Terugblik en vooruitblik op het armoedebeleid in Zoetermeer (beeld- en oordeelsvormend)|Agendapunt
58c16d1dbb59056809b91917|RAADSVERGADERING - Resultatendebat|zoetermeer|Agenda
58c16744bb59056809b918fb|De raad voorstellen om  1. Wijziging 74 van de Welstandsnota vast te stellen|0: Wijziging 74 van de Welstandsnota|Agendapunt
stedelijke-commissie|1.	Aan de Raad voor te stellen in te stemmen met een lening van maximaal 650.000 euro aan HET Symfonieorkest voor het optimaliseren van zijn kantoorruimte in het Muziekcentrum.  2.	In het voorstel aan de Raad een keuze te maken tussen:  a.	Een leningstermijn van 20 jaar, waarmee rente en aflossing door NedSym uitkomt op een bedrag van rond 42.000 euro per jaar;  Of  b.	Een leningstermijn van 14 jaar, waarmee rente en aflossing door NedSym uitkomt op een bedrag van rond 50.000 euro per jaar.  |99.4: Lening aan HET Symfonieorkest voor het optimaliseren van zijn kantoorruimte in het Muziekcentrum|Agendapunt
gemeente-den-helder-den-helder-nh|1.  Deze vergadering is verschoven naar maandag 30 januari 2017.  |Verslag 1. Deze vergadering is verschoven naar maandag 30 januari 2017.|Verslag
58c16744bb59056809b918fb|"In de lokale gezondheidsnota ""Vitale coalities"" is het gemeentelijk gezondheidsbeleid voor de komende 4 jaar vastgelegd. De nota bestaat uit de regionale nota Lokaal gezondheidsbeleid ""Vitale coalities, betere gezondheid, meer participatie"" aangevuld met een lokale oplegnota met de verbijzonderingen voor Enschede. Kern van de nota zijn vitale coalities; verbindingen tussen gezondheid en ander (gemeentelijk) beleid om zo op beiden resultaat te boeken. In de nota zijn voor Enschede de volgende vitale coalities met gezondheid uitgewerkt; het convenant Gezond Meedoen met Menzis, de decentralisaties, jeugd, sport en groen."|X.12: Lokaal Gezondheidsbeleid 2013-2016|Agendapunt
commissie-stad-en-ruimte|<h3>1 Opening</h3> <p></p> <h3>2 Vaststellen agenda en inventarisatie te bespreken agendapunten</h3> <p></p> <h3>4 Vaststellen toezeggingenlijst</h3> <p></p> <h3>19 Stedenbouwkundig Programma van Eisen Kruisvaartkade</h3> <p></p> <h3>19.1 Antwoorden vragen SPvE Kruisvaartkade</h3> <p></p> <h3>20 Bestemmingsplan 2e Daalsedijk Wisselspoor, deelgebied 1</h3> <p></p> <h3>21 Actieplan Middenhuur</h3> <p></p> <h3>21.1 Memo Actieplan middenhuur</h3> <p></p>|Commissie Stad en Ruimte|Videotulen Commissie Stad en Ruimte
gemeente-utrecht-utrecht-ut|AANPASSING: Conform bespreking in de raadscommissie Stad en Ruimte van 28 september 2017 zijn het raadsvoorstel ‘Conversieregeling Erfpacht 2017' en de bijlagen aangepast.|1: Conversieregeling Erfpacht 2017|Agendapunt
commissie-stad|Betreft onderwerpen uit commissie Samenleving|zoetermeer|Agenda
gemeente-den-helder-den-helder-nh|Voorgesteld wordt de forensenbelasting te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen.|13. Voorstel tot het vaststellen van de Verordening op de heffing en invordering van forensenbelasting 2018.|Agendapunt
gemeente-den-helder-den-helder-nh|Voorgesteld wordt de precariorechten te verhogen met 1,2% als gevolg van de loon- en prijsontwikkelingen.|12. Voorstel tot het vaststellen van de Verordening op de heffing en invordering van precariobelasting 2018.|Agendapunt
commissie-stad-en-ruimte|Uitnodiging voor de openbare vergadering van de commissie Stad en Ruimte, die wordt gehouden op: <br>- dinsdagavond 29 augustus 2017 van 20.00 - 23.20 uur<br>- donderdagochtend 31 augustus 2017 van 09.30- 12.30 uur<br>- donderdagmiddag 31 augustus 2017 van 14.00 - 16.20 uur<br>- donderdagavond 31 augustus 2017 van 20.00- 23.05 uur.<br>- dinsdagavond 5 september 2017 van 20.00 - 23.35 uur<br> Voor donderdagavond 31 augustus 2017 van 20.00 tot  uur is een aparte agenda aangemaakt.<br>|utrecht|Agenda
58c16d1dbb59056809b91917|19:30 - 20:00 Technisch Vooroverleg vergadering AB Haaglanden van 19 februari 2014.  Technisch Vooroverleg vergadering AB Haaglanden van 19 februari 2014 (30 minuten)     Ter voorbereiding op de vergadering van het Algemeen Bestuur van het Stadsgewest Haaglanden van 19 februari wordt dit vooroverleg gehouden. Aan de hand van de agenda en de ambtelijke adviezen, die later bij de agenda worden geplaatst, kunt u de vertegenwoordigers in het Algemeen Bestuur aandachtspunten meegeven.|None: 19:30 - 20:00 Technisch Vooroverleg vergadering AB Haaglanden van 19 februari 2014|Agendapunt
adviescommissie-sociaal-bestuurlijk|Adviescommissie Programmabegroting (geen reguliere Adviescommissie)|oss|Agenda
commissie-stad|Jaarlijks wordt een nieuwe jaarschijf vastgesteld van het Uitvoeringsprogramma Nota Mobiliteit Zoetermeer met daar bij stand van zaken van de uitvoering van de eerdere jaarschijven.   De voorliggende jaarschijf 2015 is een selectie van projecten uit de voorraadlijst. De criteria die bij de selectie gehanteerd worden zijn vooral verkeersveiligheid, bereikbaarheid, beschikbare financiële middelen en de samenhang met andere projecten en onderhoud werkzaamheden. Het totale investeringsniveau bedraagt ca. € 986.000,- Deze kosten worden voor bijna de helft gedekt door subsidies uit het mobiliteitsfonds Haaglanden. Dit fonds is overgenomen door de Metropoolregio/ Vervoersautoriteit Rotterdam Den Haag (MRDH) en loopt tot en met 2017 door. Het resterende budget komt t.l.v. het Reserve Investeringsfonds (RIF)  De raad wordt voorgesteld de jaarschijf 2005 vast te stellen en de middelen uit het RIF beschikbaar te stellen.    Aard van deze bespreking is oordeelsvormend: uitwisseling van inhoudelijke argumenten en daarop doorvragen om tot een goede weging te kunnen komen van de voorstellen. Er is gelegenheid tot het stellen van vragen die voor een goede oordeelsvormend noodzakelijk zijn.|I: Uitvoeringsprogramma Nota Mobiliteit 2015 tot en met 2017, jaarschijf 2015 (oordeelsvormend)|Agendapunt
58c16a1bbb59056809b91909|De raad besluit conform het voorstel van het college (unaniem).|15: Openbaar onderwijs Present: benoeming bestuurslid, behandeling financiele stukken|Agendapunt
